trial, train examples, distance metric, transformation, k, accuracy
3, 1000, Euclidian distance outside weighted, offset=1.4, Downscale 12x12, 1, 0.57
3, 1000, Euclidian distance outside weighted, offset=1.6, Downscale 12x12, 1, 0.54
3, 1000, Euclidian distance outside weighted, offset=1.8, Downscale 12x12, 1, 0.55
3, 1000, Euclidian distance outside weighted, offset=2.0, Downscale 12x12, 1, 0.57
3, 1000, Euclidian distance outside weighted, offset=2.2, Downscale 12x12, 1, 0.57
3, 1000, Euclidian distance outside weighted, offset=2.4, Downscale 12x12, 1, 0.57
3, 1000, Euclidian distance outside weighted, offset=2.6, Downscale 12x12, 1, 0.54
3, 1000, Euclidian distance outside weighted, offset=2.8, Downscale 12x12, 1, 0.55
3, 1000, Euclidian distance outside weighted, offset=3, Downscale 12x12, 1, 0.57

1, 1000, Euclidian distance inside weighted, offset=0, Downscale 12x12, 1, 0.02
1, 1000, Euclidian distance inside weighted, offset=0.2, Downscale 12x12, 1, 0.04
1, 1000, Euclidian distance inside weighted, offset=0.4, Downscale 12x12, 1, 0.04
1, 1000, Euclidian distance inside weighted, offset=0.6, Downscale 12x12, 1, 0.04
1, 1000, Euclidian distance inside weighted, offset=0.8, Downscale 12x12, 1, 0.04
1, 1000, Euclidian distance inside weighted, offset=1, Downscale 12x12, 1, 0.04
1, 1000, Euclidian distance inside weighted, offset=1.2, Downscale 12x12, 1, 0.43
1, 1000, Euclidian distance inside weighted, offset=1.4, Downscale 12x12, 1, 0.59
1, 1000, Euclidian distance inside weighted, offset=1.6, Downscale 12x12, 1, 0.57
1, 1000, Euclidian distance inside weighted, offset=1.8, Downscale 12x12, 1, 0.58
1, 1000, Euclidian distance inside weighted, offset=2.0, Downscale 12x12, 1, 0.57
1, 1000, Euclidian distance inside weighted, offset=2.2, Downscale 12x12, 1, 0.55
1, 1000, Euclidian distance inside weighted, offset=2.4, Downscale 12x12, 1, 0.57
1, 1000, Euclidian distance inside weighted, offset=2.6, Downscale 12x12, 1, 0.56
1, 1000, Euclidian distance inside weighted, offset=2.8, Downscale 12x12, 1, 0.57
1, 1000, Euclidian distance inside weighted, offset=3, Downscale 12x12, 1, 0.57
2, 1000, Euclidian distance inside weighted, offset=0, Downscale 12x12, 1, 0.06
2, 1000, Euclidian distance inside weighted, offset=0.2, Downscale 12x12, 1, 0.06
2, 1000, Euclidian distance inside weighted, offset=0.4, Downscale 12x12, 1, 0.06
2, 1000, Euclidian distance inside weighted, offset=0.6, Downscale 12x12, 1, 0.06
2, 1000, Euclidian distance inside weighted, offset=0.8, Downscale 12x12, 1, 0.06
2, 1000, Euclidian distance inside weighted, offset=1, Downscale 12x12, 1, 0.06
2, 1000, Euclidian distance inside weighted, offset=1.2, Downscale 12x12, 1, 0.41
